OBJECTID,Route,Signing,Qualifier,Ramp,DOT ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
44550224, , ,1, ,188640,1,30,AMBER DR,AMBER DR, , , , ,HEATHER CIR, ,0, ,,832220,188640011,0,0.61,45275711,071,2220,,19,Combined Total,Y,,2019,F,93,7,4,4,1,2016,94,8,50,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,5,5,Estimated,,,,,3,7,8
44550225, , ,1, ,119319,1,30,N MAIN ST,BLEECKER ST, , , , ,NORTH ST, ,30, ,,215038,119319011,0,0.24,45235564,035,5038,,19,Combined Total,Y,,2019,F,1122,88,51,47,9,2015,1202,8,58,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,56,5,Estimated,,,,,65,95,104
44550227, , ,1, ,256324,1,30,OCEAN AVE NB,BEDFORD AVE, , , ,Y,KINGS HWY, ,30, ,,021266,256324011,2,2.29,45206523,047,1266,,14,Combined Total,Y,,2019,F,20546,1473,742,1389,161,2011,21344,7,50,2008,16348,2007,17213,2004,17571,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,1550,8,Estimated,,,,,1480,1296,1444
44550229, , ,1, ,160911,1,30,IROQUOIS DR,NOTTINGHAM TERR,6935063,1039969, ,Y,ELMWOOD AVE, ,0, ,,536320,160911011,0,0.15,45241550,029,6020,,9,Combined Total,Y,,2019,F,229,23,23,12,2,2015,243,10,100,2010,236,2000,224,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,14,6,Actual,,,,,21,19,26
44550231, , ,1, ,142753,1,30,Russell Rd,BEST RD, ,3337220, , ,WANGUM RD, ,35, ,,431203,142753011,0.97,1.17,45296147,033,6075,,16,Combined Total, ,,2019,F,7326,685,346,220,15,2017,7325,9,51,2016,7001,2009,7915,,,2017,18,3,3,0,0,82,14,1,2,1,0,0,2019,2017,30,36,37,42,0,0,13.07251072,59.18663025,0,235,3,Estimated,,,,,236,395,483
44550256,78,3,1, ,100351,3,30,Erie/Niag Co LIne,RT 93 DYSINGER RD, ,1030350, ,Y, , ,35, ,,360434,100351031,5.03,8.07,45323280,063,0042,,6,Combined Total,Y,,2019,F,2926,237,124,161,139,2018,2929,8,52,2013,3380,2010,3706,2007,4517,2018,28,10,6,5,1,72,17,1,5,1,0,0,2019,2018,55,44,46,52,5,0,13.07251072,59.18663025,0,300,10,Actual,,,,,174,220,252
44550258, , ,1, ,100137,2,30,Bear St West,PLUM ST, , , , ,SOLAR ST, ,55, ,,710056,100137021,26.04,30,45273147,067,2092,,4,Combined Total,Y,,2019,A,7316,684,434,352,208,2016,7369,9,63,2013,6677,2010,8094,2007,7315,2016,29,8,5,3,1,71,21,1,4,1,0,0,2019,2016,55,60,60,64,90,9,13.07251072,59.18663025,0,560,8,Actual,,,,,514,507,744
44550259, , ,1, ,257686,1,30,CROYDON DR,CROYDON DR, , , , ,CROMWELL DR, ,30, ,,061205,257686011,0,0.5,45314049,029,5087,,14,Combined Total, ,,2019,F,4367,318,225,988,129,2018,4388,7,71,2016,4768,2010,3988,2009,5233,2018,42,26,23,3,4,54,16,7,16,1,1,0,2019,2018,25,24,28,34,0,0,13.07251072,59.18663025,0,1117,26,Estimated,,,,,277,315,325
44550263,984M, ,1, ,167121,1,30,987D SAW MILL RIVER PKWY,NY 9A SAW MILL RIVER RD, ,2262270, , ,FARRAGUT AVE, ,0, ,,546028,167121011,0,0.23,45302720,119,0895,,19,Combined Total,5,,2019,F,760,89,46,83,23,2017,768,12,52,2015,1105,2013,3417,2008,1629,2017,45,14,11,3,0,55,31,1,10,1,1,0,2019,2017,30,33,34,40,0,0,13.07251072,59.18663025,0,106,14,Actual,,,,,74,91,86
44550266, , ,1, ,165018,1,30,US 6,NY 6N, , , , ,EAST MAIN ST 2, ,45, ,,544022,165018011,0,3.34,45271739,119,1319,,16,Combined Total, ,,2019,A,1809,170,99,78,8,2019,1809,9,58,2016,2380,2011,2311,2007,2322,2016,28,5,4,0,2,70,23,0,4,1,0,0,2019,2016,55,45,48,53,7,0,13.07251072,59.18663025,0,86,5,Estimated,,,,,131,110,182
44550276,,,,,,,30,,,,,,,,,,,,,,,,45351408,117,7044,,9,Combined Total, ,浦,2019,F,2737,224,224,191,363,2019,2737,8,100,,,,,,,2019,32,20,7,13,3,64,12,1,6,1,1,1,2019,2019,35,37,40,48,2,0,13.07251072,59.18663025,0,554,20,Actual,,,,,115,183,159
44550278, , ,1, ,110216,1,40,DOUGLASTON PKWY,242ND ST, , , , ,68TH AVE, ,45, ,,156727,110216011,1.18,2.48,45234879,081,5261,,7,Combined Total,5,,2019,F,4097,411,251,200,38,2015,4150,10,61,2012,3895,2009,3873,2002,2571,2015,24,6,5,1,1,75,18,1,4,1,0,0,2019,2015,45,50,50,55,15,0,11.33219433,58.65974808,0,238,6,Estimated,,,,,240,218,304
44550284, , ,1, ,167188,1,30,RT 109,ST JAMES ST, , , , ,ARNOLD AVE, ,55, ,,616470,167188011,0,2.1,45329542,103,4114,,7,Combined Total,Y,,2019,A,701,69,37,47,7,2018,703,10,53,2011,675,2010,728,2006,724,2018,41,8,7,1,0,59,33,0,7,1,1,0,2019,2018,45,46,47,53,5,0,13.07251072,59.18663025,0,54,8,Estimated,,,,,62,61,76
44550285, ,5,1, ,256851,1,30,NY 104,CARLTON TL CR 6, ,3319380, , ,KENT RD,CR11,0, ,,045036,256851011,0.34,0.4,45257264,073,6013,,19,Combined Total,Y,,2019,F,3035,269,172,130,11,2016,2971,9,64,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,141,5,Actual,,,,,222,163,287
44550287,90,1,1, ,216478,1,40,INTER 53 - RT 190I - NIAGARA,WILLIAM STREET,8000022,5046479, ,Y,NYS Thruway, ,0, ,,946024,216478011,0,0.73,45308001,029,0462,,9,Combined Total,Y,,2019,F,235,26,21,13,6,2017,243,11,82,2013,291,2005,219,2000,191,,,,,,,,,,,,,,2019,,,,,,,,11.33219433,58.65974808,0,19,8,Actual,,,,,28,15,24
44550288,90,1,1, ,170804,1,40,INTER 53 - RT 190I - NIAGARA,WILLIAM STREET,8000022,5046479, ,Y,NYS Thruway, ,55, ,,646406,170804011,4.21,9.37,45330915,029,0462,,8,Combined Total,Y,,2019,F,357,30,16,22,3,2018,358,8,52,2013,404,2010,456,2007,539,,,,,,,,,,,,,,2019,,,,,,,,11.33219433,58.65974808,0,25,7,Actual,,,,,25,23,29
44550291, , ,1, ,256974,1,30,VILLAGE LN,N GENESEE ST, , , , ,STEUBEN ST, ,25, ,,044348,256974011,0.28,0.38,45213508,097,2005,,17,Combined Total,5,浦,2019,F,1101,88,88,76,8,2014,1074,8,100,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,84,8,Actual,,,,,83,86,81
44550293, , ,1, ,207271,1,30,S FIFTH AVE,FOURTH AVE, , , , ,W FIRST ST, ,30, ,,871521,207271011,0.67,0.72,45208835,119,1521,,17,Combined Total,Y,,2019,F,8130,602,339,274,22,2011,8159,7,56,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,296,4,Estimated,,,,,499,573,685
44550295, , ,0,0I495010714D,277758,1,30,CR97 NICOLLS RD SB,RT906B LIE-SR WB (ON), , , ,Y,I495 at Cr97 Ex, ,0,Y,,073606,277758011,0,0.32,45316093,103,3606,,11,Combined Total,Y,Y,2019,F,14009,1243,1243,659,483,2018,13959,9,100,2016,16422,2010,14861,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,1142,8,Estimated,,,,,1143,675,764
44550296, ,5,1, ,262522,1,40,CR4 UNION FALLS,CASEY RD, ,3335680, , ,CR1 SILVER LAKE,CR1,0, ,,716091,262522011,11.8,14.17,45243190,019,6091,,8,Combined Total,Y,,2019,F,250,27,15,11,4,2015,253,11,55,2009,387,2006,277,2001,422,2009,,6,5,2,,,,,,,0,0,2019,,,,,,,,11.33219433,58.65974808,0,15,6,Actual,,,,,21,25,30
44550300, ,5,1, ,152260,1,30,CR 83,SMITH HOLLOW RD, ,3369850, , ,FIVE MILE RD,CR19,45, ,,518003,152260011,0.99,1.83,45298796,009,8003,,17,Combined Total,Y,,2019,F,4430,599,307,228,40,2017,4442,14,51,2015,5313,2013,4822,2009,4129,2017,30,6,5,1,0,70,24,2,3,1,1,0,2019,2017,55,46,47,53,4,0,13.07251072,59.18663025,0,268,6,Actual,,,,,528,301,508
44550307, , ,1, ,256252,1,30,UTICA AVE,RALPH AVE, , , ,Y,EASTERN PKWY, ,25, ,,021208,256252011,2.01,2.46,45281733,047,1208,,14,Combined Total,Y,,2019,F,43821,2780,1517,2962,344,2017,44234,6,55,2014,40537,2011,39748,2009,37852,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,3306,8,Estimated,,,,,2787,2552,3089
44550308, , ,0,NY100018701I,274494,1,30,PALMER RD(OFF),NY100 SB (ON), , , ,Y,Rte 100 at SBP, ,0,Y,,873153,274494011,0,0.24,45249816,119,3153,,11,Combined Total,Y,Y,2019,F,3410,294,294,141,333,2015,3460,9,100,2011,2260,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,474,14,Estimated,,,,,321,229,316
44550309, ,5,1, ,139897,1,30,PORTAGE T/L,CR 24, , , , ,MAIN ST,CR68,0, ,,428143,139897011,0,0.26,45239501,051,8143,,9,Combined Total,Y,,2019,F,337,41,25,9,1,2015,376,12,60,2010,425,,,,,2015,36,3,3,0,2,63,33,0,3,1,0,0,2019,2015,55,25,28,34,0,0,13.07251072,59.18663025,0,10,3,Actual,,,,,25,34,45
44550311,22A,3,1, ,100169,1,40,RT 22 MIDDLE GRANVILLE,CR 24, , , , , , ,40, ,,180020,100169011,0,0.4,45319246,115,0020,,7,Combined Total,Y,,2019,F,2141,186,93,157,115,2018,2148,9,50,2014,2368,2011,2347,2008,2760,2014,35,13,7,5,0,64,23,2,6,1,1,0,2019,2014,45,42,44,50,2,0,11.33219433,58.65974808,0,272,13,Actual,,,,,202,167,224
44550312,,,1,,312845,1,30,PARKING AREA,I-90 WB (ON),,,,,ONTARIO REST AREA,,,Y,,417703,312845011,0.25,0.59,45354084,037,7703,,9,Combined Total,Y,Y,2019,A,2196,178,178,94,421,2019,2196,8,100,,,,,,,2019,34,23,4,19,1,65,11,2,3,1,0,1,2019,2019,65,38,42,50,5,1,13.07251072,59.18663025,0,515,23,Actual,,,,,127,194,191
44550313, , ,1, ,101974,1,30,ALBANY ST,KINGS RD, , ,508678E, ,CORDELL RD, ,30, ,,117003,101974011,0,1.16,45215590,001,7003,,19,Combined Total,Y,,2019,A,1637,159,98,190,50,2019,1637,10,62,2014,1543,2001,1558,,,2019,38,15,12,3,1,61,24,0,11,1,0,0,2019,2019,30,34,36,42,0,0,13.07251072,59.18663025,0,240,15,Actual,,,,,142,127,177
44550323, , ,1, ,120519,1,40,END,OAK MNTN DR, ,2204850, , ,UPPER JAMES RD, ,0, ,,236025,120519011,0,0.02,45320023,043,6025,,9,Combined Total,Y,,2019,F,2,1,1,0,0,2018,2,50,100,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,11.33219433,58.65974808,0,0,6,Estimated,,,,,9,9,13
44550324, ,5,1, ,154210,1,30,NY60 N Main St,Shumla Rd, , , , ,CR 72 BARD RD,CR312,0, ,,528254,154210011,0,1.06,45211242,013,8254,,8,Combined Total,Y,,2019,A,959,85,49,69,17,2019,945,9,57,2013,1001,2008,1081,,,2019,41,9,7,2,1,58,32,1,7,1,0,0,2019,2019,45,46,47,54,10,0,13.07251072,59.18663025,0,86,9,Actual,,,,,56,70,93
44550325, , ,0,0I495010710A,277742,1,30,RT906A LIE-SR fm OLD NCHLS R,I-495 EB (ON), , , ,Y,I495 Exit 58, ,0,Y,,073051,277742011,0,0.47,45289084,103,3051,,11,Combined Total,Y,Y,2019,F,6479,730,730,168,18,2017,6450,11,100,2010,6339,,,,,2017,16,3,3,0,0,84,13,0,2,1,0,0,2019,2017,40,39,48,57,20,2,13.07251072,59.18663025,0,186,3,Actual,,,,,348,348,791
44550326, , ,1, ,205655,1,30,NORTH BEDFORD RD,KISCO AVE, ,2265420, , ,PRESTON WAY, ,0, ,,876072,205655011,0,0.3,45278983,119,6072,,19,Combined Total,Y,,2019,F,11805,1060,662,454,129,2016,11891,9,62,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,583,5,Estimated,,,,,812,1032,1162
44550327, , ,1, ,221549,1,30,LYNBROOK ST,MERRICK RD, , , , ,BAYVIEW AVE - S, ,30, ,,034175,221549011,1.12,1.33,45311670,059,4175,,17,Combined Total,Y,,2019,F,3335,251,132,84,2,2018,3357,8,53,2015,3032,2005,3319,2001,3424,2018,13,3,3,0,0,87,10,1,1,1,0,0,2019,2018,30,24,26,30,0,0,13.07251072,59.18663025,0,86,3,Actual,,,,,196,188,258
44550328,16,3,1, ,100097,2,30,BOWEN RD,VILLAGE OF EAST AURORA & TOW, , , , ,BUFFALO RD,CR572,30, ,,530076,100097021,19.89,19.94,45326911,029,0076,,16,Combined Total,Y,,2019,F,6562,568,343,208,31,2018,6556,9,60,2015,6952,2014,6830,2011,5987,2018,23,4,3,0,0,77,19,0,3,1,0,0,2019,2018,30,35,37,42,0,0,13.07251072,59.18663025,0,239,4,Actual,,,,,374,564,538
44550339,12F,3,1, ,100047,1,30,I-81 SB Ramps,WATERTOWN W CITY LN, ,1010170, ,, , ,40, ,,730035,100047011,5.24,5.33,45332288,045,0035,,14,Combined Total,Y,,2019,F,16186,1383,702,630,99,2018,16275,9,51,2009,14241,2004,16159,2001,13956,2018,21,5,4,1,1,78,17,0,4,1,0,0,2019,2018,40,25,28,35,0,0,13.07251072,59.18663025,0,729,5,Actual,,,,,1011,1238,1511
44550343, , ,1, ,111463,1,30,CLAMSTEAM RD,CLIFTON PARK T/L, ,1033190, , ,RIVER VIEW RD, ,0, ,,156730,111463011,0,0.39,45290989,091,6730,,19,Combined Total,Y,,2019,F,899,110,81,42,30,2017,903,12,74,2002,154,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,72,8,Estimated,,,,,54,62,121
44550345, , ,1, ,162505,1,30,PARK ST,VILLAGE LINE, , ,265511T, ,ERIE AVE, ,30, ,,537024,162505011,0.08,0.28,45328287,029,7024,,19,Combined Total,Y,,2019,F,156,15,10,6,1,2018,157,9,69,2017,236,2011,234,2003,327,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,7,4,Estimated,,,,,9,9,16
44550352, ,5,1, ,220800,1,30,W BROADWAY RD,E ROCKAWAY RD, , , , ,BROADWAY,CRC22,30, ,,038185,220800011,3.21,3.42,45256634,059,8185,,16,Combined Total,Y,,2019,A,25925,1936,988,874,109,2019,25925,7,51,2016,26911,2001,19762,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,983,4,Estimated,,,,,1734,1903,2089
44550353, , ,1, ,132788,1,30,BRIARWOOD,BARBERRY, , , , ,TANGLEWOOD LA, ,30, ,,335117,132788011,0,0.37,45237875,067,5117,,19,Combined Total,Y,,2019,F,237,25,16,10,2,2015,250,11,62,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,12,5,Estimated,,,,,20,16,29
44550354, ,5,1, ,156872,1,30,STURGEON PT RD,SWEETLAND RD, , , , ,LAKE SHORE RD,CR127,35, ,,534667,156872011,0.74,2.86,45301107,029,4667,,17,Combined Total,Y,,2019,F,1106,92,52,33,6,2017,1109,8,56,2014,985,2011,1780,2007,819,2011,20,4,3,1,4,76,17,0,3,1,0,0,2019,2011,35,38,39,45,0,0,13.07251072,59.18663025,0,39,4,Actual,,,,,48,100,120
44550355,20A,2,1, ,100146,1,30,START 16/20A/78 OLAP / BUFFA,OLEAN ST - END 16/20A/78 OLA, ,1072930, ,Y,MAIN ST, ,30, ,,530203,100146011,9.63,10.7,45327028,029,0203,,14,Combined Total,Y,,2019,F,12902,1028,560,506,61,2018,13222,8,54,2016,13156,2013,15243,2010,13806,2018,23,4,4,0,0,77,19,0,3,1,0,0,2019,2018,30,24,26,31,0,0,13.07251072,59.18663025,0,567,4,Actual,,,,,748,955,1065
44550356,20A,2,1, ,100146,1,30,START 16/20A/78 OLAP / BUFFA,OLEAN ST - END 16/20A/78 OLA, ,1072930, ,Y,MAIN ST, ,30, ,,530203,100097021,18.23,19.3,45327028,029,0203,,14,Combined Total,Y,,2019,F,12902,1028,560,506,61,2018,13222,8,54,2016,13156,2013,15243,2010,13806,2018,23,4,4,0,0,77,19,0,3,1,0,0,2019,2018,30,24,26,31,0,0,13.07251072,59.18663025,0,567,4,Actual,,,,,748,955,1065
44550357, , ,1, ,257741,1,30,CONGRESS ST, , , , , ,RIVER ST, ,30,Y,,141276,257741011,0.06,0.3,45234556,083,1276,,16,Combined Total,Y,Y,2019,A,1464,122,122,19,0,2019,1464,8,100,2015,1354,2010,1108,,,2015,10,1,1,0,0,90,9,0,1,1,0,0,2019,2015,30,14,11,19,0,0,13.07251072,59.18663025,0,19,1,Actual,,,,,123,107,133
44550358, , ,1, ,263467,1,30,COUNTY LINE,JOSLYN RD, , , , ,DAVEY RD, ,0, ,,925025,263467011,0,0.73,45252198,017,5025,,9,Combined Total,Y,,2019,F,60,8,5,3,2,2015,64,14,56,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,5,8,Estimated,,,,,5,7,9
44550360, ,5,1, ,139837,1,30,CR 34 STONER HILL RD,RED SCHOOL HOUSE RD, , , , ,ROCK SPG HIL RD,CR11,0, ,,428022,139837011,0,1.95,45209737,051,8022,,9,Combined Total,Y,,2019,F,524,41,23,20,0,2012,639,8,56,2011,315,,,,,2012,33,4,4,0,1,67,29,0,4,1,0,0,2019,2012,55,50,51,57,21,0,13.07251072,59.18663025,0,20,4,Actual,,,,,32,29,39
44550366, , ,1, ,200612,1,30,LOCUST AVE,CUL-DE-SAC, , , , ,HIGHLAND DR I, ,0, ,,875148,200612011,0,0.19,45250018,119,5148,,19,Combined Total,Y,,2019,F,227,20,11,9,2,2015,229,9,55,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,11,5,Estimated,,,,,16,20,22
44550368,298,3,1, ,100262,1,30,FREMONT RD,SHEPPS COR RD, , , , , , ,50, ,,330028,100262011,9.28,10.96,45321911,067,0028,,7,Combined Total,Y,,2019,F,7464,692,479,304,114,2018,7472,9,69,2014,7337,2011,6780,2008,6823,2014,24,6,4,2,1,74,19,1,3,1,0,0,2019,2014,50,49,50,55,14,0,13.07251072,59.18663025,0,418,6,Actual,,,,,553,509,777
44550372, , ,1, ,206636,1,30,MAIN ST,WHITE ST, , , , ,DEPOT PLAZA, ,30, ,,871441,206636011,0,0.17,45306537,119,1441,,17,Combined Total,Y,,2019,F,9171,786,457,309,25,2017,9179,9,58,2013,10090,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,334,4,Estimated,,,,,601,402,759
44550373, , ,1, ,257097,1,30,MERRICK BLVD,131ST AVE, , , , ,229TH ST, ,25, ,,054134,257097011,1.3,1.56,45286824,081,4134,,17,Combined Total,Y,,2019,F,869,78,78,60,6,2017,860,9,100,2011,921,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,66,8,Estimated,,,,,28,42,53
44550378, , ,0,NY104014301C,274141,1,30,DIVERGE FROM NY104 WB OFF,MERGE WITH NY104 EB OFF RAMP, ,1063790, ,Y,NY 104 at NY 39, ,0,Y,,436819,274141011,0,0.43,45324749,055,6819,,12,Combined Total,Y,Y,2019,F,8532,714,714,233,97,2018,8523,8,100,2016,9971,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,330,4,Estimated,,,,,777,514,692
44550380, ,5,1, ,156858,1,30,AMSDELL RD,HAMBURG VL, , , , ,PLEASANT AVE,CR104,35, ,,534703,156858011,0,0.76,45301158,029,4703,,17,Combined Total,Y,,2019,F,4727,417,227,111,14,2017,4740,9,54,2016,4891,2013,4185,,,2017,19,3,2,0,0,81,16,0,2,1,0,0,2019,2017,30,33,33,38,0,0,13.07251072,59.18663025,0,125,3,Actual,,,,,145,242,300
44550384, , ,1, ,119512,1,30,WATER ST,HOFFMAN ST, , , , ,PLEASANT AVE, ,0, ,,215034,119512011,0.21,0.53,45235555,035,5034,,19,Combined Total,Y,,2019,F,2255,277,151,94,17,2015,2415,12,55,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,111,5,Estimated,,,,,326,235,248
44550385, , ,1, ,116818,1,30,SANFORD ST,MASON ST, , , , ,FLANDREAUX AVE, ,0, ,,175085,116818011,0,0.11,45217269,113,5085,,19,Combined Total,Y,,2019,F,147,16,8,7,5,2014,149,11,53,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,12,8,Estimated,,,,,13,10,17
